FirstName,FullName,Genre,InfluenceToBoy,InfluenceToGirl
Paulette,Paulette Goddard,Comedy,-1,0.0
Paulette,Paulette Goddard,Drama,-1,0.0
Paulette,Paulette Goddard,Family,-1,0.0
Stanley,Stanley Blystone,Comedy,0.00126611060668,-1
Stanley,Stanley Blystone,Drama,0.00126611060668,-1
Stanley,Stanley Blystone,Family,0.00126611060668,-1
Fred,Fred Malatesta,Comedy,-0.0709599835757,-1
Fred,Fred Malatesta,Drama,-0.0709599835757,-1
Fred,Fred Malatesta,Family,-0.0709599835757,-1
Errol,Errol Flynn,Action,1.1395505618,-1
Errol,Errol Flynn,Adventure,1.1395505618,-1
Errol,Errol Flynn,Romance,1.1395505618,-1
Errol,Errol Flynn,War,1.1395505618,-1
David,David Niven,Action,-0.0671005456244,-0.130982425933
David,David Niven,Adventure,-0.0671005456244,-0.130982425933
David,David Niven,Romance,-0.0671005456244,-0.130982425933
David,David Niven,War,-0.0671005456244,-0.130982425933
Spring,Spring Byington,Action,-1,0.0
Spring,Spring Byington,Adventure,-1,0.0
Spring,Spring Byington,Romance,-1,0.0
Spring,Spring Byington,War,-1,0.0
Ginger,Ginger Rogers,Comedy,-1,-0.0153846153846
Ginger,Ginger Rogers,Musical,-1,-0.0153846153846
Ginger,Ginger Rogers,Romance,-1,-0.0153846153846
Edward,Edward Everett Horton,Comedy,0.141683254494,0.0
Edward,Edward Everett Horton,Musical,0.141683254494,0.0
Edward,Edward Everett Horton,Romance,0.141683254494,0.0
Eric,Eric Blore,Comedy,-0.112808743727,0.0
Eric,Eric Blore,Musical,-0.112808743727,0.0
Eric,Eric Blore,Romance,-0.112808743727,0.0
Claudette,Claudette Colbert,Comedy,-1,-1.17085655166
Claudette,Claudette Colbert,Romance,-1,-1.17085655166
Alan,Alan Hale,Comedy,0.369797235205,-1
Alan,Alan Hale,Romance,0.369797235205,-1
Walter,Walter Connolly,Comedy,0.0174311300862,-1
Walter,Walter Connolly,Romance,0.0174311300862,-1
Hattie,Hattie McDaniel,Drama,-1,-0.114237953382
Hattie,Hattie McDaniel,History,-1,-0.114237953382
Hattie,Hattie McDaniel,Romance,-1,-0.114237953382
Hattie,Hattie McDaniel,War,-1,-0.114237953382
George,George Reeves,Drama,0.197387854752,-0.0229889904839
George,George Reeves,History,0.197387854752,-0.0229889904839
George,George Reeves,Romance,0.197387854752,-0.0229889904839
George,George Reeves,War,0.197387854752,-0.0229889904839
Thomas,Thomas Mitchell,Drama,0.177424507479,0.03
Thomas,Thomas Mitchell,History,0.177424507479,0.03
Thomas,Thomas Mitchell,Romance,0.177424507479,0.03
Thomas,Thomas Mitchell,War,0.177424507479,0.03
Margaret,Margaret Hamilton,Adventure,-1,0.0790545966486
Margaret,Margaret Hamilton,Family,-1,0.0790545966486
Margaret,Margaret Hamilton,Fantasy,-1,0.0790545966486
Margaret,Margaret Hamilton,Musical,-1,0.0790545966486
Terry,Terry,Adventure,0.0728497857302,0.761295860089
Terry,Terry,Family,0.0728497857302,0.761295860089
Terry,Terry,Fantasy,0.0728497857302,0.761295860089
Terry,Terry,Musical,0.0728497857302,0.761295860089
Billie,Billie Burke,Adventure,0.152638112162,0.431505108071
Billie,Billie Burke,Family,0.152638112162,0.431505108071
Billie,Billie Burke,Fantasy,0.152638112162,0.431505108071
Billie,Billie Burke,Musical,0.152638112162,0.431505108071
Tyrone,Tyrone Power,Drama,-0.42283492823,-1
Tyrone,Tyrone Power,Musical,-0.42283492823,-1
Tyrone,Tyrone Power,Romance,-0.42283492823,-1
Don,Don Ameche,Drama,-0.0910253508721,-1
Don,Don Ameche,Musical,-0.0910253508721,-1
Don,Don Ameche,Romance,-0.0910253508721,-1
John,John Carradine,Drama,0.0719939940169,-0.0152158891877
John,John Carradine,Musical,0.0719939940169,-0.0152158891877
John,John Carradine,Romance,0.0719939940169,-0.0152158891877
Jean,Jean Arthur,Comedy,0.0627014088336,0.138143936014
Jean,Jean Arthur,Drama,0.0627014088336,0.138143936014
Jean,Jean Arthur,Romance,0.0627014088336,0.138143936014
Ann,Ann Miller,Comedy,-1,-0.0230405438299
Ann,Ann Miller,Drama,-1,-0.0230405438299
Ann,Ann Miller,Romance,-1,-0.0230405438299
Lionel,Lionel Barrymore,Comedy,0.0142560452289,-1
Lionel,Lionel Barrymore,Drama,0.0142560452289,-1
Lionel,Lionel Barrymore,Romance,0.0142560452289,-1
Brian,Brian Dennehy,Comedy,0.0631367969763,-0.229915237446
Brian,Brian Dennehy,Crime,0.0631367969763,-0.229915237446
Brian,Brian Dennehy,Romance,0.0631367969763,-0.229915237446
Debra,Debra Winger,Comedy,-1,0.00785697742092
Debra,Debra Winger,Crime,-1,0.00785697742092
Debra,Debra Winger,Romance,-1,0.00785697742092
Roscoe,Roscoe Lee Browne,Comedy,0.0,-1
Roscoe,Roscoe Lee Browne,Crime,0.0,-1
Roscoe,Roscoe Lee Browne,Romance,0.0,-1
Bill,Bill Murray,Comedy,0.0561045097985,-1
Bill,Bill Murray,Horror,0.0561045097985,-1
Bill,Bill Murray,Musical,0.0561045097985,-1
Bill,Bill Murray,Sci-Fi,0.0561045097985,-1
Jim,Jim Belushi,Comedy,0.0643384617938,-1
Jim,Jim Belushi,Horror,0.0643384617938,-1
Jim,Jim Belushi,Musical,0.0643384617938,-1
Jim,Jim Belushi,Sci-Fi,0.0643384617938,-1
Tisha,Tisha Campbell-Martin,Comedy,-1,0.104201690384
Tisha,Tisha Campbell-Martin,Horror,-1,0.104201690384
Tisha,Tisha Campbell-Martin,Musical,-1,0.104201690384
Tisha,Tisha Campbell-Martin,Sci-Fi,-1,0.104201690384
Joe,Joe Don Baker,Action,0.0463696990297,0.0
Joe,Joe Don Baker,Adventure,0.0463696990297,0.0
Joe,Joe Don Baker,Thriller,0.0463696990297,0.0
Desmond,Desmond Llewelyn,Action,0.0192832229883,-1
Desmond,Desmond Llewelyn,Adventure,0.0192832229883,-1
Desmond,Desmond Llewelyn,Thriller,0.0192832229883,-1
Art,Art Malik,Action,0.0,-1
Art,Art Malik,Adventure,0.0,-1
Art,Art Malik,Thriller,0.0,-1
Carol,Carol Kane,Action,0.0,0.16934877992
Carol,Carol Kane,Adventure,0.0,0.16934877992
Carol,Carol Kane,Comedy,0.0,0.16934877992
Carol,Carol Kane,Music,0.0,0.16934877992
Carol,Carol Kane,Thriller,0.0,0.16934877992
Warren,Warren Beatty,Action,-0.0638094246359,-1
Warren,Warren Beatty,Adventure,-0.0638094246359,-1
Warren,Warren Beatty,Comedy,-0.0638094246359,-1
Warren,Warren Beatty,Music,-0.0638094246359,-1
Warren,Warren Beatty,Thriller,-0.0638094246359,-1
Isabelle,Isabelle Adjani,Action,-1,0.627410071942
Isabelle,Isabelle Adjani,Adventure,-1,0.627410071942
Isabelle,Isabelle Adjani,Comedy,-1,0.627410071942
Isabelle,Isabelle Adjani,Music,-1,0.627410071942
Isabelle,Isabelle Adjani,Thriller,-1,0.627410071942
Lea,Lea Thompson,Action,-1,-0.00640928747812
Lea,Lea Thompson,Drama,-1,-0.00640928747812
Lea,Lea Thompson,War,-1,-0.00640928747812
Jennifer,Jennifer Grey,Action,-0.572708436311,-0.263908744239
Jennifer,Jennifer Grey,Drama,-0.572708436311,-0.263908744239
